ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 57, 34, 0.59375, 0.9824561403508771, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 0.8596491228070176, 0.888888888888889, 0.8648648648648649, 0.9142857142857143, 0.8435064935064934, 0.9649122807017544, 0.9705882352941176, 1.0, 0.9428571428571428, 0.9714285714285714, 0.9122807017543859, 0.9333333333333333, 0.875, 1.0, 0.8863636363636364, 0.9473684210526315, 0.958904109589041, 0.9210526315789473, 1.0, 0.9318181818181819
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 50, 14, 0.5208333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88, 0.9, 0.9, 0.9, 0.875, 0.96, 0.9655172413793104, 1.0, 0.9333333333333333, 0.9666666666666667, 0.98, 0.9836065573770492, 0.967741935483871, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 60, 12, 0.625, 0.9833333333333333, 0.9896907216494846, 1.0, 0.9795918367346939, 0.9897959183673469, 0.8666666666666667, 0.92, 0.9019607843137255, 0.9387755102040817, 0.7421150278293136, 0.8666666666666667, 0.9130434782608695, 0.9767441860465116, 0.8571428571428571, 0.8831168831168831, 0.9166666666666666, 0.9514563106796117, 0.9074074074074074, 1.0, 0.7727272727272727, 0.9833333333333333, 0.98989898989899, 0.98, 1.0, 0.9545454545454545
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 41, 7, 0.4270833333333333, 0.975609756097561, 0.983050847457627, 1.0, 0.9666666666666667, 0.9833333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.926829268292683, 0.9523809523809523, 0.9090909090909091, 1.0, 0.8636363636363636, 0.9024390243902439, 0.9375, 0.8823529411764706, 1.0, 0.8181818181818181
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 46, 6, 0.4791666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9782608695652174, 0.9850746268656716, 0.9705882352941176, 1.0, 0.9615384615384616, 0.9565217391304348, 0.96875, 1.0, 0.9393939393939394, 0.9696969696969697, 0.9782608695652174, 0.9850746268656716, 0.9705882352941176, 1.0, 0.9615384615384616, 0.8913043478260869, 0.9295774647887324, 0.868421052631579, 1.0, 0.8076923076923077
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 67, 33, 0.6979166666666666, 0.9850746268656716, 0.989010989010989, 0.9782608695652174, 1.0, 0.9772727272727273, 0.9701492537313433, 0.9777777777777777, 0.9777777777777777, 0.9777777777777777, 0.9661616161616162, 0.9402985074626866, 0.9555555555555556, 0.9555555555555556, 0.9555555555555556, 0.9323232323232324, 0.9850746268656716, 0.989010989010989, 0.9782608695652174, 1.0, 0.9772727272727273, 0.9850746268656716, 0.989010989010989, 0.9782608695652174, 1.0, 0.9772727272727273
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 54, 22, 0.5625, 0.9814814814814815, 0.988235294117647, 0.9767441860465116, 1.0, 0.9583333333333333, 0.9814814814814815, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 0.9814814814814815, 0.988235294117647, 0.9767441860465116, 1.0, 0.9583333333333333, 0.9814814814814815, 0.988235294117647, 0.9767441860465116, 1.0, 0.9583333333333333, 0.9629629629629629, 0.9767441860465117, 0.9545454545454546, 1.0, 0.9166666666666667
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 60, 10, 0.625, 0.9833333333333333, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.962962962962963, 1.0, 0.9285714285714286, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 50, 10, 0.5208333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 0.9767441860465117, 1.0, 0.9545454545454546, 0.9772727272727273, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9166666666666667
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 59, 28, 0.6145833333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9322033898305084, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.9275184275184275, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9772727272727273, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 48, 21, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.9599999999999999, 0.9473684210526315, 0.972972972972973, 0.8955773955773956, 0.9791666666666666, 0.9863013698630138, 1.0, 0.972972972972973, 0.9864864864864865, 0.9791666666666666, 0.9866666666666666, 0.9736842105263158, 1.0, 0.9545454545454545, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 56, 12, 0.5833333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.989247311827957, 1.0, 0.9787234042553191, 0.9893617021276595, 0.9464285714285714, 0.967032967032967, 1.0, 0.9361702127659575, 0.9680851063829787, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 56, 8, 0.5833333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 0.988235294117647, 1.0, 0.9767441860465116, 0.9883720930232558, 0.9464285714285714, 0.963855421686747, 1.0, 0.9302325581395349, 0.9651162790697674, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 19, 3, 0.19791666666666666, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 69, 33, 0.71875, 0.9855072463768116, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9807692307692308, 0.9855072463768116, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9807692307692308, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9807692307692308, 0.9855072463768116, 0.9885057471264368, 0.9772727272727273, 1.0, 0.9807692307692308
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 43, 17, 0.4479166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 30, 10, 0.3125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 69, 12, 0.71875, 0.9855072463768116, 0.9902912621359222, 1.0, 0.9807692307692307, 0.9903846153846154, 0.927536231884058, 0.9494949494949495, 1.0, 0.9038461538461539, 0.9519230769230769, 0.9710144927536232, 0.9811320754716981, 0.9629629629629629, 1.0, 0.9411764705882353, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7681159420289855, 0.8666666666666666, 0.7647058823529411, 1.0, 0.5294117647058824
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 23, 3, 0.23958333333333334, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 54, 23, 0.5625, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875, 0.9629629629629629, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.955592105263158, 0.9629629629629629, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.955592105263158, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875, 0.9814814814814815, 0.9870129870129869, 0.9743589743589743, 1.0, 0.96875
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 82, 21, 0.8541666666666666, 0.975609756097561, 0.9836065573770492, 0.9836065573770492, 0.9836065573770492, 0.9679937548790007, 0.9634146341463414, 0.9747899159663865, 1.0, 0.9508196721311475, 0.9754098360655737, 0.9512195121951219, 0.9666666666666667, 0.9830508474576272, 0.9508196721311475, 0.9516003122560499, 0.9878048780487805, 0.991869918699187, 0.9838709677419355, 1.0, 0.9761904761904762, 0.9634146341463414, 0.976, 0.953125, 1.0, 0.9285714285714286
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 37, 7, 0.3854166666666667, 0.972972972972973, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 0.972972972972973, 0.9855072463768115, 1.0, 0.9714285714285714, 0.9857142857142858, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 30, 7, 0.3125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 60, 8, 0.625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666666666667, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9509001636661212, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8666666666666667, 0.9215686274509803, 0.8545454545454545, 1.0, 0.6923076923076923
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 73, 30, 0.7604166666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.958904109589041, 0.9655172413793104, 1.0, 0.9333333333333333, 0.9666666666666667, 0.9041095890410958, 0.9176470588235294, 0.975, 0.8666666666666667, 0.9154761904761906, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 55, 16, 0.5729166666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9818181818181818, 0.9863013698630138, 1.0, 0.972972972972973, 0.9864864864864865, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 37, 9, 0.3854166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.9777777777777777, 1.0, 0.9565217391304348, 0.9782608695652174, 0.918918918918919, 0.9302325581395349, 1.0, 0.8695652173913043, 0.9347826086956521, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 14, 2, 0.14583333333333334, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 67, 30, 0.6979166666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8955223880597015, 0.9176470588235294, 1.0, 0.8478260869565217, 0.9239130434782609, 0.9850746268656716, 0.989010989010989, 1.0, 0.9782608695652174, 0.9891304347826086
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 66, 18, 0.6875, 0.9696969696969697, 0.9791666666666666, 0.9591836734693877, 1.0, 0.9473684210526316, 0.9696969696969697, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9630459126539753, 0.9696969696969697, 0.9782608695652174, 1.0, 0.9574468085106383, 0.9787234042553192, 0.8636363636363636, 0.8941176470588235, 1.0, 0.8085106382978723, 0.9042553191489362, 0.9090909090909091, 0.9400000000000001, 0.8867924528301887, 1.0, 0.8421052631578947
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 47, 13, 0.4895833333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9574468085106383, 0.9722222222222222, 1.0, 0.9459459459459459, 0.972972972972973, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9361702127659575, 0.9577464788732395, 1.0, 0.918918918918919, 0.9594594594594594, 0.9574468085106383, 0.9736842105263158, 0.9487179487179487, 1.0, 0.9
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 49, 9, 0.5104166666666666, 0.9795918367346939, 0.9873417721518987, 0.975, 1.0, 0.9500000000000001, 0.9591836734693877, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9371794871794873, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8979591836734694, 0.9315068493150686, 1.0, 0.8717948717948718, 0.9358974358974359, 0.8979591836734694, 0.9397590361445783, 0.8863636363636364, 1.0, 0.75
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 21, 2, 0.21875, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 71, 31, 0.7395833333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9859154929577465, 0.989247311827957, 0.9787234042553191, 1.0, 0.98, 0.971830985915493, 0.9777777777777777, 1.0, 0.9565217391304348, 0.9782608695652174, 0.9859154929577465, 0.989247311827957, 0.9787234042553191, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 37, 10, 0.3854166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.918918918918919, 0.9491525423728813, 0.9032258064516129, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.9824561403508771, 0.9655172413793104, 1.0, 0.9444444444444444, 0.9459459459459459, 0.9655172413793104, 0.9333333333333333, 1.0, 0.8888888888888888
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 62, 11, 0.6458333333333334, 0.9838709677419355, 0.989010989010989, 0.9782608695652174, 1.0, 0.9705882352941176, 0.9193548387096774, 0.946236559139785, 0.9166666666666666, 0.9777777777777777, 0.8712418300653595, 0.9838709677419355, 0.989010989010989, 0.9782608695652174, 1.0, 0.9705882352941176, 0.9516129032258065, 0.967741935483871, 0.9375, 1.0, 0.9117647058823529, 0.9838709677419355, 0.989010989010989, 0.9782608695652174, 1.0, 0.9705882352941176
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 50, 13, 0.5208333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 0.9577464788732395, 0.9714285714285714, 0.9444444444444444, 0.9365079365079365, 0.9, 0.9253731343283582, 1.0, 0.8611111111111112, 0.9305555555555556, 0.98, 0.9863013698630138, 0.972972972972973, 1.0, 0.9642857142857143, 0.98, 0.9863013698630138, 0.972972972972973, 1.0, 0.9642857142857143
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 37, 5, 0.3854166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667, 0.9459459459459459, 0.9666666666666666, 1.0, 0.9354838709677419, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.9841269841269841, 0.96875, 1.0, 0.9166666666666667
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
