chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 25, target_accuracy, 17, 8, 1, 0.47058823529411764, True, 1.0, 0.0, 0.0, 0.0, 0.0, 0.875, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 31, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 9, 1, 0.5294117647058824, True, 1.0, 1.0, 1.0, 1.0, 0.0, 0.8888888888888888, 0.9411764705882353, 1.0, 0.8888888888888888, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 32, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 17, 2, 1.0, True, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.8823529411764706, 0.8750000000000001, 1.0, 0.7777777777777778, 0.8888888888888888, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.8823529411764706, 0.8750000000000001, 1.0, 0.7777777777777778, 0.8888888888888888, 24, 5, 2
0.95, 0.05, 0.95, 25, target_accuracy, 17, 7, 1, 0.4117647058823529, True, 0.8571428571428571, 0.0, 0.0, 0.0, 0.5, 0.8571428571428571, 0.0, 0.0, 0.0, 0.5, 0.8571428571428571, 0.0, 0.0, 0.0, 0.5, 0.8571428571428571, 0.0, 0.0, 0.0, 0.5, 0.8571428571428571, 0.0, 0.0, 0.0, 0.5, 22, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 8, 1, 0.47058823529411764, True, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 27, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 0, 0, 0.0, True, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 28, 3, 0
0.95, 0.05, 0.95, 25, target_accuracy, 17, 9, 1, 0.5294117647058824, True, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 25, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 7, 1, 0.4117647058823529, True, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 27, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 9, 1, 0.5294117647058824, True, 1.0, 0.0, 0.0, 0.0, 0.0, 0.8888888888888888, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 27, 6, 1
0.95, 0.05, 0.95, 25, target_accuracy, 17, 12, 2, 0.7058823529411765, True, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 27, 5, 2
