chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 25, 3, 0
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 22, 25, 0
0.95, 0.05, 0.95, 15, target_accuracy, 27, 12, 2, 0.4444444444444444, False, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 0.9166666666666666, 0.9565217391304348, 0.9166666666666666, 1.0, 0.5, 26, 3, 2
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 23, 3, 0
0.95, 0.05, 0.95, 15, target_accuracy, 27, 14, 1, 0.5185185185185185, False, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 18, 3, 1
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 21, 2, 0
0.95, 0.05, 0.95, 15, target_accuracy, 27, 9, 1, 0.3333333333333333, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 19, 3, 1
0.95, 0.05, 0.95, 15, target_accuracy, 26, 16, 1, 0.6153846153846154, False, 0.9375, 0.967741935483871, 0.9375, 1.0, 0.5, 0.9375, 0.967741935483871, 0.9375, 1.0, 0.5, 0.9375, 0.967741935483871, 0.9375, 1.0, 0.5, 0.9375, 0.967741935483871, 0.9375, 1.0, 0.5, 0.9375, 0.967741935483871, 0.9375, 1.0, 0.5, 23, 2, 1
0.95, 0.05, 0.95, 15, target_accuracy, 26, 11, 1, 0.4230769230769231, False, 0.8181818181818182, 0.9, 0.8181818181818182, 1.0, 0.5, 0.8181818181818182, 0.9, 0.8181818181818182, 1.0, 0.5, 0.8181818181818182, 0.9, 0.8181818181818182, 1.0, 0.5, 0.8181818181818182, 0.9, 0.8181818181818182, 1.0, 0.5, 0.8181818181818182, 0.9, 0.8181818181818182, 1.0, 0.5, 26, 3, 1
0.95, 0.05, 0.95, 15, target_accuracy, 26, 7, 2, 0.2692307692307692, False, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 0.8571428571428571, 0.923076923076923, 0.8571428571428571, 1.0, 0.5, 20, 2, 2
0.95, 0.05, 0.95, 15, target_accuracy, 27, 19, 2, 0.7037037037037037, False, 0.8947368421052632, 0.9444444444444444, 0.8947368421052632, 1.0, 0.5, 0.8947368421052632, 0.9444444444444444, 0.8947368421052632, 1.0, 0.5, 0.9473684210526315, 0.9714285714285714, 0.9444444444444444, 1.0, 0.75, 0.8947368421052632, 0.9444444444444444, 0.8947368421052632, 1.0, 0.5, 0.8947368421052632, 0.9444444444444444, 0.8947368421052632, 1.0, 0.5, 22, 6, 2
0.95, 0.05, 0.95, 15, target_accuracy, 27, 1, 1, 0.037037037037037035, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 24, 4, 1
0.95, 0.05, 0.95, 15, target_accuracy, 27, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 22, 15, 0
0.95, 0.05, 0.95, 15, target_accuracy, 27, 5, 1, 0.18518518518518517, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 24, 3, 1
0.95, 0.05, 0.95, 15, target_accuracy, 27, 16, 1, 0.5925925925925926, False, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 19, 18, 1
0.95, 0.05, 0.95, 15, target_accuracy, 27, 9, 1, 0.3333333333333333, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 20, 3, 1
0.95, 0.05, 0.95, 15, target_accuracy, 27, 12, 2, 0.4444444444444444, False, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 0.8333333333333334, 0.9090909090909091, 0.8333333333333334, 1.0, 0.5, 23, 3, 2
0.95, 0.05, 0.95, 15, target_accuracy, 26, 10, 2, 0.38461538461538464, False, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 22, 2, 2
0.95, 0.05, 0.95, 15, target_accuracy, 26, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 22, 3, 0
0.95, 0.05, 0.95, 15, target_accuracy, 26, 0, 0, 0.0, False, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 25, 3, 0
