chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 10, target_accuracy, 17, 15, 3, 0.8823529411764706, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 4, 3
0.95, 0.05, 0.95, 10, target_accuracy, 17, 16, 3, 0.9411764705882353, False, 0.9375, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.875, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.873015873015873, 0.9375, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.875, 0.8750000000000001, 1.0, 0.7777777777777778, 0.8888888888888888, 0.9375, 0.9473684210526316, 0.9, 1.0, 0.9285714285714286, 17, 3, 3
0.95, 0.05, 0.95, 10, target_accuracy, 17, 5, 2, 0.29411764705882354, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 26, 4, 2
0.95, 0.05, 0.95, 10, target_accuracy, 17, 15, 2, 0.8823529411764706, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 27, 4, 2
0.95, 0.05, 0.95, 10, target_accuracy, 17, 16, 2, 0.9411764705882353, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 29, 4, 2
0.95, 0.05, 0.95, 10, target_accuracy, 17, 15, 2, 0.8823529411764706, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9333333333333333, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9285714285714286, 1.0, 1.0, 1.0, 1.0, 1.0, 21, 4, 2
0.95, 0.05, 0.95, 10, target_accuracy, 17, 9, 1, 0.5294117647058824, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 23, 3, 1
0.95, 0.05, 0.95, 10, target_accuracy, 17, 8, 1, 0.47058823529411764, False, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.0, 0.0, 0.0, 0.5, 23, 4, 1
0.95, 0.05, 0.95, 10, target_accuracy, 17, 17, 3, 1.0, False, 0.8235294117647058, 0.7999999999999999, 0.8571428571428571, 0.75, 0.8194444444444443, 0.8235294117647058, 0.7999999999999999, 0.8571428571428571, 0.75, 0.8194444444444443, 0.8823529411764706, 0.8571428571428571, 1.0, 0.75, 0.875, 0.8823529411764706, 0.8571428571428571, 1.0, 0.75, 0.875, 0.8823529411764706, 0.8571428571428571, 1.0, 0.75, 0.875, 27, 3, 3
0.95, 0.05, 0.95, 10, target_accuracy, 17, 14, 3, 0.8235294117647058, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9166666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9166666666666667, 24, 4, 3
0.95, 0.05, 0.95, 10, target_accuracy, 17, 15, 2, 0.8823529411764706, False, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9333333333333333, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 23, 3, 2
0.95, 0.05, 0.95, 10, target_accuracy, 17, 7, 1, 0.4117647058823529, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 29, 3, 1
0.95, 0.05, 0.95, 10, target_accuracy, 17, 17, 3, 1.0, False, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9473684210526316, 0.9, 1.0, 0.9375, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.8823529411764706, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8819444444444444, 0.8823529411764706, 0.8750000000000001, 1.0, 0.7777777777777778, 0.8888888888888888, 33, 3, 3
0.95, 0.05, 0.95, 10, target_accuracy, 17, 15, 2, 0.8823529411764706, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 25, 5, 2
0.95, 0.05, 0.95, 10, target_accuracy, 17, 9, 1, 0.5294117647058824, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 28, 3, 1
0.95, 0.05, 0.95, 10, target_accuracy, 17, 17, 2, 1.0, False, 0.9411764705882353, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9444444444444444, 0.8235294117647058, 0.8421052631578948, 0.7272727272727273, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9444444444444444, 0.8235294117647058, 0.8421052631578948, 0.7272727272727273, 1.0, 0.8333333333333334, 34, 4, 2
